"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","18-Apr-2019","       1343.75","       1375.00","       1389.75","       1365.00","       1386.05","       1385.95","       1379.51","   17960482","         24776645489.80","     337505","    6905750","         38.45"
"RELIANCE","EQ","22-Apr-2019","       1385.95","       1360.00","       1367.00","       1341.30","       1344.00","       1345.35","       1353.82","   10792748","         14611422110.90","     289829","    3826256","         35.45"
"RELIANCE","EQ","23-Apr-2019","       1345.35","       1348.00","       1373.00","       1346.00","       1364.65","       1363.85","       1362.98","    9055300","         12342230169.05","     183025","    2687211","         29.68"
"RELIANCE","EQ","24-Apr-2019","       1363.85","       1370.30","       1394.80","       1366.25","       1389.50","       1389.50","       1379.35","    7360887","         10153225468.10","     182147","    2800119","         38.04"
"RELIANCE","EQ","25-Apr-2019","       1389.50","       1389.10","       1412.40","       1362.60","       1370.00","       1372.40","       1391.77","   13929820","         19387122709.60","     275583","    6097094","         43.77"
"RELIANCE","EQ","26-Apr-2019","       1372.40","       1375.00","       1395.95","       1370.70","       1392.00","       1392.80","       1383.98","    6889444","          9534854405.80","     160625","    2543349","         36.92"
"RELIANCE","EQ","30-Apr-2019","       1392.80","       1396.40","       1396.40","       1366.80","       1392.45","       1392.80","       1384.81","   10217019","         14148587974.70","     210909","    4720683","         46.20"
"RELIANCE","EQ","02-May-2019","       1392.80","       1392.00","       1413.90","       1382.10","       1403.10","       1405.05","       1402.33","    8682505","         12175759293.55","     203263","    3311981","         38.15"
"RELIANCE","EQ","03-May-2019","       1405.05","       1407.95","       1417.50","       1402.65","       1409.90","       1408.85","       1412.19","    6510169","          9193624810.45","     174995","    2762984","         42.44"
"RELIANCE","EQ","06-May-2019","       1408.85","       1398.00","       1402.80","       1378.10","       1382.95","       1384.90","       1392.39","    7237910","         10078024781.25","     151864","    3763775","         52.00"
"RELIANCE","EQ","07-May-2019","       1384.90","       1394.80","       1395.00","       1340.20","       1341.00","       1343.50","       1361.64","    8877095","         12087393002.15","     214252","    4066700","         45.81"
